course_name,topic,agency,skills_id,source_pdf
"Foundations of Diversity, Equity, Inclusion, and Belonging","Diversity, Equity, Inclusion and Belonging (DEIB)",LinkedIn Learning,551654bbdd10d6efcbb821e32d2317ae25cc07e362e20e1469116df0bcba343f,CertificateOfCompletion_Foundations of Diversity Equity Inclusion and Belonging.pdf
Writing Formal Business Letters and Emails,Business Communications,LinkedIn Learning,72501daaf460c7af85ef7f4ab054d967c870942fdc78d055b05975bb585c7635,CertificateOfCompletion_Writing Formal Business Letters and Emails-2.pdf
Communicating about Culturally Sensitive Issues,Sensitive Issues Cross-Cultural Communication,LinkedIn Learning,,CertificateOfCompletion_Communicating about Culturally Sensitive Issues-1.pdf
Unlocking Authentic Communication in a Culturally-Diverse Workplace,Professional Communication Cross-Cultural Communication,LinkedIn Learning,,CertificateOfCompletion_Unlocking Authentic Communication in a CulturallyDiverse Workplace-2.pdf
Managing Stress for Positive Change (2022),Stress Management,LinkedIn Learning,,CertificateOfCompletion_Managing Stress for Positive Change 2022-1.pdf
Business Writing Principles,Business Writing,LinkedIn Learning,,CertificateOfCompletion_Business Writing Principles.pdf
Communicating about Culturally Sensitive Issues,Sensitive Issues Cross-Cultural Communication,LinkedIn Learning,,CertificateOfCompletion_Communicating about Culturally Sensitive Issues-3.pdf
Communicating with Emotional Intelligence,Emotional Intelligence Interpersonal Communication,LinkedIn Learning,d2d2b7f28abad172434f906e7df4093dd8622a5e32817d184fb64e1cee976d22,CertificateOfCompletion_Communicating with Emotional Intelligence.pdf
Inclusive Mindset,Inclusive Team Leadership Diversity and Inclusion,LinkedIn Learning,54407c97035ac4282d24387b5e21f6f8ae5508724d23f73186d0be3b1ade96fe,CertificateOfCompletion_Inclusive Mindset-1.pdf
Writing Formal Business Letters and Emails,Business Communications,LinkedIn Learning,,CertificateOfCompletion_Writing Formal Business Letters and Emails-1.pdf
Communicating about Culturally Sensitive Issues,Sensitive Issues Cross-Cultural Communication,LinkedIn Learning,43cefc48ac8f679147fdecf4ba8d17ffe54257004f726f604e7866dd706ad9e4,CertificateOfCompletion_Communicating about Culturally Sensitive Issues-2.pdf
Unlocking Authentic Communication in a Culturally-Diverse Workplace,Professional Communication Cross-Cultural Communication,LinkedIn Learning,,CertificateOfCompletion_Unlocking Authentic Communication in a CulturallyDiverse Workplace-1.pdf
Skills for Inclusive Conversations,Interpersonal Communication Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Skills for Inclusive Conversations-4.pdf
Communicating with Confidence,Communication Confidence Building Self-confidence,LinkedIn Learning,,CertificateOfCompletion_Communicating with Confidence-1.pdf
Being Positive at Work,Positive Psychology,LinkedIn Learning,,CertificateOfCompletion_Being Positive at Work.pdf
Equity First: The Path to Inclusion and Belonging,Social Equity Diversity and Inclusion,LinkedIn Learning,141fe1ae8b0e9c0f5ba469ebbea08f9f4e8397a5de354f18d0d8ea167f800f95,CertificateOfCompletion_Equity First The Path to Inclusion and Belonging-1.pdf
How to Create Executive-Level Data Visualizations,Data Visualization Executive Presentation Skills,LinkedIn Learning,,CertificateOfCompletion_How to Create ExecutiveLevel Data Visualizations-1.pdf
How to Support Colleagues from Underrepresented Groups,Workplace Relations Allyship,LinkedIn Learning,,CertificateOfCompletion_How to Support Colleagues from Underrepresented Groups-1.pdf
Skills for Inclusive Conversations,Interpersonal Communication Diversity and Inclusion,LinkedIn Learning,659e937b7a8a1786628a3cd00a5dcbda12eb9e30cd39983824ea2de5e5bef361,CertificateOfCompletion_Skills for Inclusive Conversations-1.pdf
Unconscious Bias,Unconscious Bias Awareness Training Diversity and Inclusion,LinkedIn Learning,5ce065bbca7055f625821499032ebbf4e36bc30a61d736d939e6b8f8032b45ca,CertificateOfCompletion_Unconscious Bias-2.pdf
Skills for Inclusive Conversations,Interpersonal Communication Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Skills for Inclusive Conversations-3.pdf
Equity First: The Path to Inclusion and Belonging,Social Equity Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Equity First The Path to Inclusion and Belonging-2.pdf
Managing Stress for Positive Change (2022),Stress Management,LinkedIn Learning,,CertificateOfCompletion_Managing Stress for Positive Change 2022.pdf
Decision-Making Strategies,Decision-Making,LinkedIn Learning,,CertificateOfCompletion_DecisionMaking Strategies.pdf
How to Support Colleagues from Underrepresented Groups,Workplace Relations Allyship,LinkedIn Learning,,CertificateOfCompletion_How to Support Colleagues from Underrepresented Groups-2.pdf
Skills for Inclusive Conversations,Interpersonal Communication Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Skills for Inclusive Conversations-2.pdf
Unconscious Bias,Unconscious Bias Awareness Training Diversity and Inclusion,LinkedIn Learning,,CertificateOfCompletion_Unconscious Bias-1.pdf
Conflict Resolution Foundations,Conflict Resolution,LinkedIn Learning,c03f9e4ba8b48c90819874eba9f81a01567e7e9f46c4e0b2035b8cb946a8ec17,CertificateOfCompletion_Conflict Resolution Foundations-1.pdf
